4314076;6011;265.11;22.7;130400
4314100;184826;783.42;235.9;6219762
4314134;2196;148.28;14.8;69022
4314159;8044;171.86;46.8;117477
4314175;2212;1375.76;1.6;59887
4314209;7811;608.79;12.8;94543
4314308;3973;414.24;9.6;190841
4314407;328275;1610.08;203.9;5371274
4314423;5182;85.15;60.9;247071
4314456;2513;68.21;36.8;53898
4314464;2130;437.84;4.9;189013
4314472;4471;477.13;9.4;122741
4314498;4497;105.61;42.6;63457
4314506;12780;2249.56;5.7;196379
4314548;;105.07;;31131
4314555;2757;294.11;9.5;40197
4314605;19841;3539.69;5.6;267348
4314704;10524;230.42;45.7;129305
4314753;2017;67.57;31.0;53395
4314779;3857;505.71;7.6;181282
4314787;1750;99.87;17.5;43250
4314803;30920;159.90;193.4;837854
4314902;1409351;496.68;2837.5;48651075
4315008;5413;251.26;21.7;75619
4315057;2542;105.69;24.1;39648
4315073;1852;114.54;16.3;28710
4315107;10558;281.93;37.6;118537
4315131;1875;106.53;17.6;37894
4315149;2484;49.43;50.3;62266
4315156;6163;255.86;24.1;95033
4315172;2000;172.82;11.6;43747
4315206;4141;205.05;20.2;71642
4315305;23021;3147.63;7.3;299433
4315313;1775;267.99;6.6;77899
4315321;2710;543.36;5.0;121499
4315354;3653;223.64;16.3;127272
4315404;10222;302.68;33.8;125560
4315453;2155;123.44;17.5;41207
4315503;15849;968.50;16.6;305156
4315552;3616;235.32;15.4;68545
4315602;197228;2709.52;72.8;6385316
4315701;37591;2050.65;18.3;659222
4315750;4330;239.56;18.1;94915
4315800;10284;208.63;49.3;304099
4315909;5743;83.17;69.0;104449
4315958;2546;295.01;8.6;74455
4316006;19485;295.64;65.9;384815
4316105;10221;419.34;24.4;214338
4316204;5518;252.21;21.9;126498
4316303;7203;348.73;20.8;104766
4316402;39707;4369.65;9.1;663594
4316428;2595;78.25;33.2;45084
4316436;2869;221.61;13.0;111712
4316451;11880;507.38;23.4;225206
4316477;2669;94.04;28.4;77416
4316501;6747;98.56;67.6;225516
4316600;15373;504.55;30.5;387254
4317103;82464;6941.61;11.9;1223002
4316709;8829;975.51;9.1;484934
4316733;1655;199.47;8.3;56588
4316758;5697;86.98;65.8;150912
4316808;118374;733.41;161.4;5105333
4316972;2352;955.30;2.5;123603
4316907;261031;1781.76;146.0;5152161
4316956;6053;139.70;43.4;155790
4317202;68587;489.80;140.0;1963674
4317251;1720;73.98;23.8;30095
4317301;30990;5243.58;5.9;606519
4317004;8242;1420.62;5.8;110833
4317400;49071;2413.13;20.3;799894
4317509;76275;680.50;112.1;1588491
4317608;39685;1049.81;37.8;770015
4317707;11210;1710.87;6.6;215159
4317558;2139;126.09;17.0;59936
4317756;1987;203.44;9.8;83019
4317806;13968;468.10;29.8;381253
4317905;14378;366.89;39.2;347939
4317954;2461;125.59;19.6;51171
4318002;61671;3616.69;17.1;1352369
4318051;2926;78.72;37.1;46124
4318101;19254;2508.45;7.7;308597
4318200;20537;3264.49;6.3;388137
4318309;60425;5023.82;12.0;1090841
4318408;22134;936.38;23.6;379847
4318424;4726;171.18;27.6;94165
4318432;2635;78.22;30.9;47063
4318440;2774;118.05;23.5;60842
4318457;2720;98.07;27.7;43739
4318465;2204;103.09;21.4;38144
4318481;4094;64.11;63.9;92100
4318499;2200;77.81;28.3;60135
4318507;25503;1118.10;22.8;253236
4318606;6904;334.77;20.6;205958
4318614;2082;59.03;35.3;43348
4318622;3290;1173.95;2.8;74387
4318705;214087;102.74;2083.8;5046475
4318804;43111;2036.13;21.2;726467
4318903;34556;1295.68;26.7;819299
4319000;20103;256.25;78.5;464149
4319109;5773;171.66;33.6;160837
4319125;3201;669.55;4.8;145023
4319158;7421;1229.62;6.0;345552
4319208;5727;485.35;11.8;89456
4319307;6364;223.89;28.4;106610
4319356;3315;35.39;93.7;53370
4319364;1886;79.97;23.6;39415
4319372;2873;107.63;26.7;64379
4319406;16368;873.59;18.7;249431
4319505;21932;112.12;196.8;464481
4319604;23798;2202.65;10.8;516015
4319703;3632;154.19;23.6;68789
4319711;2168;91.90;23.5;40431
4319737;2647;107.97;24.5;46524
4319752;1944;32.42;60.6;65257
4319802;8440;1175.23;7.2;166271
4319901;74985;138.03;542.1;1894816
4320008;130957;58.31;2245.9;2321409
4320107;21285;353.39;60.2;550436
4320206;10897;301.42;36.2;241290
4320230;3011;119.30;25.2;77148
4320263;7158;245.81;28.9;104576
4320305;4929;177.64;27.8;153765
4320321;2814;147.21;19.1;65772
4320354;5198;281.96;18.4;70062
4320404;14253;163.28;87.3;434526
4320453;2281;100.36;22.9;34359
4320503;6294;439.47;14.3;205930
4320552;5850;251.85;23.2;108899
4320578;2124;129.99;16.3;49465
4320602;3842;167.60;22.9;71967
4320651;2449;119.29;20.7;37340
4320677;10068;510.12;19.7;154168
4320701;14283;128.08;109.5;277023
4320800;30044;1213.41;24.8;534207
4320859;4131;94.75;43.6;64115
4320909;19250;238.62;80.6;534630
4321006;10448;179.66;58.2;273674
4321105;16629;806.30;20.6;256444
4321204;54643;457.88;119.4;921195
4321303;26092;349.97;74.6;501722
4321329;2966;76.85;38.6;72651
4321352;5351;604.25;8.9;66535
4321402;13719;337.96;40.6;245838
4321436;9878;141.77;69.7;124438
4321451;27272;178.46;152.7;846766
4321469;2724;113.91;23.9;83979
4321477;6461;236.20;27.6;92097
4321493;2952;202.98;14.5;51468
4321501;34656;160.57;215.8;682237
4321600;41585;144.41;288.0;671452
4321626;2314;81.12;28.5;53066
4321634;2855;148.58;19.2;101990
4321667;10217;251.06;40.7;152081
4321709;23848;185.54;128.5;676619
4321808;23726;422.20;56.2;600293
4321832;2914;217.26;13.4;41034
4321857;4381;180.60;24.3;91817
4321907;23965;268.40;89.3;488566
4321956;5787;268.42;21.6;120170
4322004;25793;818.80;31.5;4678770
4322103;5898;180.81;32.6;141152
4322152;4395;218.07;20.2;61231
4322186;1573;135.26;11.6;36997
4322202;22281;2251.04;9.9;931334
4322251;3924;59.54;65.9;288223
4322301;8557;307.68;27.8;191374
4322327;3522;253.64;13.9;68904
4322343;2296;126.69;18.1;43061
4322350;1487;130.99;11.4;43160
4322376;2450;602.39;4.1;43787
4322400;125435;5703.59;22.0;1900353
4322509;61342;2124.58;28.9;1492095
4322533;11077;328.23;33.8;186287
4322541;5118;45.09;113.5;80269
4322525;3253;329.73;9.9;61963
4322558;1984;65.11;30.6;45850
4322608;65946;772.23;85.3;2327766
4322707;23983;309.62;77.5;519055
